"state","year","score","median_income","total_pop","poverty_rate","internet_rate","post2020"
"MINNESOTA",2024,214.44062758755,89062,5618351,0.0930002415299436,0.918163049106243,1
"MISSOURI",2024,211.900404385859,70702,6020489,0.125767192664915,0.894476855563711,1
"MISSISSIPPI",2024,218.501197673508,56447,2851006,0.188983467590037,0.842213978842898,1
"MONTANA",2024,217.208255117987,72509,1091770,0.115081015232146,0.89761342809011,1
"NORTH CAROLINA",2024,213.35179919366,72388,10444377,0.130298054158711,0.901949749494728,1
"NORTH DAKOTA",2024,215.507954176959,76657,757044,0.108158838852167,0.888371699646291,1
"NEBRASKA",2024,211.705589804961,76475,1930184,0.106015799529993,0.90756373089076,1
"NEW HAMPSHIRE",2024,221.484849293639,99031,1355300,0.0724916992547775,0.930887946141031,1
"NEW JERSEY",2024,221.636810430856,103556,9180234,0.0971534058935753,0.929140482612401,1
"NEW MEXICO",2024,200.638149466901,64059,2079678,0.178352129512357,0.867215021482803,1
"NEVADA",2024,213.135730429508,78260,3145745,0.12418965936527,0.921599410606914,1
"NEW YORK",2024,214.630140897987,85974,19362417,0.140051833404889,0.909865478749123,1
"OHIO",2024,215.994421846674,71389,11512055,0.132877405467573,0.902617643436172,1
"OKLAHOMA",2024,207.26472277647,65039,3906443,0.15335459905597,0.88994034136185,1
"OREGON",2024,206.974907710936,83011,4173206,0.119423771555969,0.925674834237457,1
"PENNSYLVANIA",2024,215.761958839465,77971,12600920,0.117094307399777,0.899524024650545,1
"RHODE ISLAND",2024,216.300464930226,87796,1060352,0.111627082327378,0.918551984962747,1
"SOUTH CAROLINA",2024,214.909030050636,69324,5156455,0.140734283533939,0.889148149494638,1
"SOUTH DAKOTA",2024,214.054601095028,75081,878427,0.119301888489311,0.898641476812641,1
"TENNESSEE",2024,215.059848694056,69595,6907625,0.137578400680408,0.893103615544793,1
"TEXAS",2024,211.922709722091,78476,29554954,0.137876716032108,0.914362707426377,1
"UTAH",2024,219.323655324309,95166,3338083,0.084982907854598,0.934827021519849,1
"VIRGINIA",2024,214.105878066384,93170,8462722,0.0989472417976155,0.91139550029533,1
"VERMONT",2024,212.685018123322,81203,624283,0.10051370932734,0.902108874389209,1
"WASHINGTON",2024,215.715249116431,98141,7680774,0.0990234838311868,0.937315731429578,1
"WISCONSIN",2024,215.316172837383,77485,5780896,0.105525164265193,0.905565279816736,1
"WEST VIRGINIA",2024,205.869976709566,59608,1722907,0.167132062264533,0.863249411587102,1
"WYOMING",2024,221.942661544784,76176,569099,0.105289237900611,0.896472928431107,1
